s.NameOnSampleWithAnon	PublicID	Metagenome_sample_accession	i.TwinID
A36955	TUK92331511		A4901
A63795	TUK92331512		A4902
A76520	TUK59907981		A4741
A62597	TUK59907982		A4742
A54455	TUK77901002	SAMEA5813880	A3962
A73430	TUK78659371	SAMEA5813870	A3921
A94770	TUK78659372	SAMEA5813871	A3922
A20701	TUK65319131		A4851
A77637	TUK65319132		A4852
A95568	TUK79429861		A102
A12487	TUK69924521		A4751
A11772	TUK69924522		A4752
A21045	TUK60326321		A4831
A39648	TUK75157071		A7521
A16879	TUK75157072		A7522
A13001	TUK61694821	SAMEA5814364	A5971
A62877	TUK61694822	SAMEA5814365	A5972
A95867	TUK59445851	SAMEA5813864	A3891
A45575	TUK59445852	SAMEA5813865	A3892
A32634	TUK94641491		A4631
A53352	TUK94641492		A4632
A51655	TUK38663171	SAMEA5814250	A5801
A47076	TUK38663172	SAMEA5814251	A5802
A64821	TUK96795491	SAMEA5814359	A5961
A50660	TUK96795492	SAMEA5814360	A5962
A30352	TUK27345652	SAMEA5814264	A5872
A19641	TUK69039151		A7421
A54812	TUK39233361		A7391
A14500	TUK89066261		A5661
A96214	TUK89066262		A5662
A66040	TUK19330181	SAMEA5814143	A5611
A86028	TUK19330182	SAMEA5814144	A5612
A46987	TUK37874711		A7301
A15667	TUK37874712		A7302
A53880	TUK43766351		A4801
A96833	TUK43766352		A4802
A98417	TUK39233362		A7392
A38842	TUK78779762		A6802
A72519	TUK53504301		A7191
A40202	TUK53504302		A7192
A89564	TUK81517792		A4372
A16222	TUK61697741		A7271
A36108	TUK61697742		A7272
A55286	TUK39799362	SAMEA5814419	A1802
A33795	TUK28344042		A8942
A38228	TUK54805831	SAMEA5813858	A3871
A44565	TUK97520911		A212
A37652	TUK78779761	SAMEA5814612	A6801
A97572	TUK49749421		A7111
A85927	TUK26778041		A5691
A64681	TUK26778042		A5692
A63075	TUK13863241	SAMEA5813853	A3861
A36582	TUK56931821	SAMEA5814333	A5951
A47703	TUK56931822	SAMEA5814334	A5952
A92398	TUK84559672	SAMEA5814243	A5792
A34223	TUK93304511	SAMEA5814473	A6281
A52502	TUK93304512	SAMEA5814474	A6282
A88049	TUK92110831		A5651
A25953	TUK92110832		A5652
A57652	TUK17374412		A6702
A87970	TUK88939401	SAMEA5814252	A5821
A15865	TUK88939402	SAMEA5814253	A5822
A44952	TUK28981632		A7252
A55906	TUK28981631		A7251
A17616	TUK14078732		A6212
A79050	TUK14078731	SAMEA5814467	A6211
A23778	TUK97814171	SAMEA5814318	A5931
A75852	TUK97814172	SAMEA5814319	A5932
A72159	TUK75236111	SAMEA5814291	A5901
A72402	TUK75236112	SAMEA5814292	A5902
A20562	TUK34868391	SAMEA5814261	A5861
A89514	TUK34868392	SAMEA5814262	A5862
A15850	TUK53725281	SAMEA5814366	A5991
A44930	TUK53725282	SAMEA5814367	A5992
A18517	TUK32692281		A6311
A82494	TUK32692282		A6312
A21487	TUK18138731		A5731
A87030	TUK18138732		A5732
A41549	TUK77766961	SAMEA5814420	A6041
A49692	TUK77766962	SAMEA5814421	A6042
A63646	TUK49749422		A7112
A84766	TUK95414081		A6091
A84635	TUK95414082		A6092
A10496	TUK71398721		A7061
A15019	TUK71398722		A7062
A42779	TUK49801861	SAMEA5814678	A7951
A20687	TUK49801862	SAMEA5814679	A7952
A41070	TUK43326141		A6021
A21137	TUK43326142	SAMEA5814397	A6022
A46907	TUK25249722		A4782
A50851	TUK25249721		A4781
A16175	TUK99222851		NA59031
A36271	TUK99222852		NA59032
A57212	TUK49706501	SAMEA5814285	A5891
A41157	TUK49706502		A5892
A65018	TUK23980901		A6131
A95513	TUK15892491		A6201
A88573	TUK15892492		A6202
A15269	TUK87861081		A6101
A24562	TUK87861082		A6102
A54280	TUK55374582		A6062
A89319	TUK55374581		A6061
A61815	TUK84481761		A6171
A41200	TUK84481762		A6172
A69874	TUK67263411	SAMEA5814332	A5941
A55340	TUK67263412		A5942
A59793	TUK71393641		A4471
A30930	TUK78771311		A6841
A21628	TUK25713171		A6741
A82496	TUK91320212	SAMEA5814298	A5922
A19927	TUK91077111		A5981
A21416	TUK89544372		A5882
A19633	TUK91320211	SAMEA5814297	A5921
A75274	TUK51021951		A6221
A42502	TUK73001992		A5212
A20445	TUK51021952		A6222
A36420	TUK91077112		A5982
A20155	TUK94805561		A7511
A58605	TUK60559562		A5402
A51271	TUK27623952	SAMEA5814431	A6072
A15984	TUK74200492		A6142
A20214	TUK25713172		A6742
A72418	TUK31724671		A6891
A31787	TUK73001991		A5211
A18520	TUK69307851	SAMEA5814422	A6051
A19310	TUK89544371	SAMEA5814272	A5881
A66902	TUK94805562	SAMEA5814673	A7512
A83547	TUK74200491		A6141
A87315	TUK80671501	SAMEA5814201	NA32261
A26933	TUK69307852	SAMEA5814423	A6052
A59808	TUK79322872		A6082
A95616	TUK27623951	SAMEA5814430	A6071
A75491	TUK79322871		A6081
A47452	TUK97429682		A6691
A89445	TUK89864592		A7881
A12062	TUK19031111	SAMEA5814607	A6761
A13413	TUK89471672		A6832
A45975	TUK89471671		A6831
A10571	TUK68627742	SAMEA5814100	A5422
A17698	TUK68627741	SAMEA5814099	A5421
A79306	TUK82670271		A7081
A53403	TUK82670272		A7082
A15768	TUK79899111	SAMEA5814477	A6291
A15138	TUK79899112	SAMEA5814478	A6292
A17112	TUK70330341		A6651
A12879	TUK70330342		A6652
A40490	TUK83666791		A4891
A42635	TUK83666792		A4892
A36973	TUK75018611	SAMEA5814836	A8881
A10419	TUK75018612		A8882
A49753	TUK65422701		A6821
A41276	TUK65422702		A6822
A33236	TUK62843551		A7681
A59757	TUK62843552		A7682
A67229	TUK58426751	SAMEA5813862	NA411
A98886	TUK58426752	SAMEA5813863	NA412
A10255	TUK87208342	SAMEA5814480	A6302
A52372	TUK45290761	SAMEA5814530	A6491
A87701	TUK45290762	SAMEA5814531	A6492
A10397	TUK99691381	SAMEA5814407	NA52721
A20574	TUK94846471	SAMEA5814134	A5531
A87664	TUK94846472	SAMEA5814135	A5532
A28663	TUK59201311		A5282
A99470	TUK59201312		A5281
A16846	TUK72947261		A5031
A58239	TUK23171462		A7072
A17249	TUK60559561	SAMEA5814090	A5401
A14021	TUK43562221	SAMEA5814113	A5451
A64671	TUK43562222		A5452
A17522	TUK72579332		A5542
A77319	TUK72579331		A5541
A77834	TUK96520081	SAMEA5814578	A6561
A88710	TUK75138922		A6642
A24605	TUK80960371		NA52461
A93963	TUK81517791		A4371
A18981	TUK21901971		A5431
A46983	TUK80960372		NA52462
A87272	TUK46767721		NA95311
A68480	TUK59417642		A7501
A47118	TUK44295671		A6121
A10362	TUK52584752		A6662
A80230	TUK84523932		A5102
A15604	TUK54380151		NA10321
A11135	TUK45122581		A6771
A13499	TUK78104062	SAMEA5813908	NA2562
A20763	TUK22334031		A5361
A94608	TUK84307871	SAMEA5814415	A6031
A93123	TUK11843342		A5742
A61655	TUK28870902	SAMEA5813882	NA1162
A46629	TUK59417641		A7501
A23984	TUK12464562		A7982
A94549	TUK12464561		A7981
A24894	TUK74353422		A7972
A36196	TUK11843341	SAMEA5814192	A5741
A45635	TUK44981152		NA1592
A19730	TUK13863242	SAMEA5813854	A3862
A57910	TUK99914902	SAMEA5814039	A5172
A94454	TUK13649871		A7991
A83041	TUK86377221	SAMEA5814730	NA92001
A76310	TUK21865651		A7041
A23825	TUK16384021	SAMEA5814774	A8691
A19252	TUK86377222	SAMEA5814731	NA92002
A16841	TUK99914901	SAMEA5814038	A5171
A73972	TUK84131662		A7822
A55989	TUK83809362		NA90112
A15355	TUK22248981		A5071
A54169	TUK30284441		A7811
A14278	TUK99833561		A7851
A88361	TUK21865652		A7042
A12857	TUK61072761	SAMEA5814405	NA52701
A78864	TUK74263432		A5412
A74977	TUK74263431		A5411
A64893	TUK82423272		A7842
A22107	TUK10734801		A8711
A47147	TUK54831802		A7782
A34972	TUK84131661		A7821
A14634	TUK96102421	SAMEA5814762	A8681
A56700	TUK96102422		A8682
A50993	TUK10734802	SAMEA5814787	A8712
A89227	TUK82423271		A7841
A17207	TUK99833562		A7852
A30207	TUK77992121		A6851
A17274	TUK77992122		A6852
A35684	TUK86622371		NA81971
A18519	TUK16857371		A7791
A53399	TUK16857372		A7792
A16218	TUK83820012		A8832
A16602	TUK91168651		A5301
A22034	TUK91168652		A5302
A93523	TUK61864431		A4711
A89753	TUK54831801		A7781
A24279	TUK45915211		A6921
A24340	TUK98078731	SAMEA5813925	A4091
A15992	TUK61209321	SAMEA5814602	A6721
A64389	TUK22072991	SAMEA5813860	NA371
A49108	TUK81278891		A6521
A44729	TUK61621912	SAMEA5814740	NA92292
A13233	TUK88287962		NA14662
A55577	TUK61209322		A6722
A79513	TUK21901972		A5432
A17705	TUK28344041		A8941
A79256	TUK52584751		A6661
A36695	TUK33925742		A5292
A18742	TUK78622762		NA58482
A14769	TUK44295672		A6122
A37000	TUK84523931		A5101
A37708	TUK29691321		A6241
A66254	TUK95847752		A6672
A15505	TUK76175642		A7802
A17550	TUK78622761		NA58481
A73534	TUK54380152		NA10322
A81899	TUK84307872	SAMEA5814416	A6032
A15683	TUK80671502		NA32262
A68710	TUK50981962		A7472
A56649	TUK74353421		A7971
A90502	TUK22334032	SAMEA5814084	A5362
A34003	TUK85012761	SAMEA5814654	NA81501
A45088	TUK14504662		NA54312
A10586	TUK45766471		A4291
A16940	TUK48300741	SAMEA5814446	NA54061
A38998	TUK51255612		A8172
A92537	TUK32777231		A6351
A54032	TUK54849652	SAMEA5814806	A8792
A66072	TUK92698441		NA54201
A84935	TUK72664341		A4381
A21757	TUK13823282		A5182
A79561	TUK90218041		A7551
A95003	TUK64411691		A7561
A56908	TUK87088502		A6592
A15619	TUK71590992	SAMEA5814146	A5632
A44703	TUK55508251		A8451
A98499	TUK63587811		A4671
A33264	TUK63587812		A4672
A70430	TUK93421571	SAMEA5813890	A4001
A19591	TUK64237812		A4272
A53513	TUK18794261		NA54171
A12371	TUK18794262		NA54172
A10797	TUK40239721	SAMEA5813972	A4521
A64945	TUK40239722		A4522
A85837	TUK64562161		A4121
A64084	TUK64562162	SAMEA5813930	A4122
A17830	TUK33632061	SAMEA5814842	NA99361
A27099	TUK27511311		A4061
A67901	TUK27511312		A4062
A62890	TUK41150281		A5641
A81089	TUK85012762		NA81502
A90555	TUK65021032		A7862
A63749	TUK37475471		A6861
A91033	TUK40766181		A4161
A49968	TUK38705992		A7442
A80308	TUK44612771	SAMEA5814452	A6111
A29259	TUK74488892		A6572
A92717	TUK40766182		A4162
A82706	TUK36982572		A6432
A91908	TUK82687002	SAMEA5814651	NA81162
A45379	TUK48300742	SAMEA5814447	NA54062
A22153	TUK54594151		A5491
A16902	TUK82687001		NA81161
A10544	TUK75547681		A6161
A87712	TUK95005902		A6392
A49252	TUK74488891		A6571
A30678	TUK92698442		NA54202
A99500	TUK74224922		A5232
A88351	TUK38246721		A6711
A46257	TUK38246722		A6712
A26125	TUK33167971		A8091
A72564	TUK33167972		A8092
A44450	TUK22821261	SAMEA5813982	A4591
A79611	TUK22821262		A4592
A42076	TUK76175641		A7801
A82975	TUK64411692		A7562
A24385	TUK33522041	SAMEA5814059	NA20081
A61049	TUK33522042		NA20082
A29083	TUK60947021		A7431
A84874	TUK60947022		A7432
A82597	TUK52927331		A6631
A98624	TUK61864432		A4712
A66788	TUK31714011		A6621
A96304	TUK31714012	SAMEA5814593	A6622
A29568	TUK59725251		A4421
A20457	TUK59725252		A4422
A37005	TUK74224921		A5231
A18728	TUK80671092	SAMEA5814028	A5132
A28571	TUK80671091		A5131
A80901	TUK68445121		NA4421
A94933	TUK68445122	SAMEA5813938	NA4422
A54102	TUK68920032	SAMEA5814575	NA60532
A52792	TUK68920031	SAMEA5814574	NA60531
A92995	TUK51123691	SAMEA5814002	A4951
A20049	TUK51123692		A4952
A80409	TUK92197101		A5761
A18017	TUK92197102		A5762
A36403	TUK85750742		A6422
A65867	TUK70592771		A8921
A99206	TUK70592772		A8922
A91473	TUK40063061		A4571
A61650	TUK25747091		A7001
A93467	TUK25747092		A7002
A51249	TUK87493551	SAMEA5814496	A6381
A67672	TUK87493552	SAMEA5814497	A6382
A85492	TUK90543631		A6961
A77501	TUK32457781		A5461
A87064	TUK92598761		A8571
A95096	TUK92598762		A8572
A14356	TUK90543632		A6962
A12466	TUK80682732		A8022
A98548	TUK80682731		A8021
A37565	TUK93406291		A6541
A75974	TUK40323432	SAMEA5814225	A5782
A62861	TUK93045061		A8731
A75611	TUK93406292		A6542
A14884	TUK40323431	SAMEA5814224	A5781
A94475	TUK60454051		A7961
A56193	TUK69752742		NA57732
A53854	TUK71590991		A5631
A66798	TUK38705991		A7441
A99177	TUK69752741	SAMEA5814495	NA57731
A16905	TUK75024892		A7202
A48947	TUK32315332		A6912
A94763	TUK54849651	SAMEA5814805	A8791
A28259	TUK75024891		A7201
A69922	TUK28825501		A6361
A33092	TUK28825502		A6362
A73314	TUK50999272		A8842
A19957	TUK81315812		A5092
A93364	TUK55508252		A8452
A16583	TUK50999271	SAMEA5814830	A8841
A35844	TUK60454052		A7962
A38007	TUK38132001		A7451
A11674	TUK38132002		A7452
A94578	TUK19603661		A7831
A55894	TUK19603662		A7832
A49324	TUK96768241		A4871
A52555	TUK96768242		A4872
A49501	TUK67196611		A6411
A15698	TUK21746892		NA77732
A49343	TUK98431311		A4101
A17098	TUK84459021	SAMEA5814338	NA51401
A86948	TUK84459022		NA51402
A32528	TUK71867871		NA30141
A90332	TUK71867872		NA30142
A21267	TUK75547682		A6161
A13217	TUK40028841		A5621
A59251	TUK33289742		A4972
A85712	TUK78104061	SAMEA5813907	NA2561
A46468	TUK96919021		NA24091
A56557	TUK72664342		A4382
A14724	TUK57100982		A4452
A11016	TUK14504661		NA54311
A18603	TUK54831862	SAMEA5814255	A5832
A64808	TUK41150282		A5642
A11896	TUK54831861	SAMEA5814254	A5831
A14169	TUK30083752	SAMEA5814385	NA52282
A60455	TUK93875851		NA80971
A65825	TUK93875852	SAMEA5814646	NA80972
A59208	TUK98431312	SAMEA5813927	A4102
A11841	TUK64303252	SAMEA5814085	A5382
A14537	TUK76331131		A7211
A16526	TUK55540301	SAMEA5814512	A6451
A66020	TUK55540302		A6452
A76841	TUK30083751	SAMEA5814384	NA52281
A12774	TUK52101032	SAMEA5814726	A8551
A29602	TUK44612772		A6112
A54092	TUK64303251		A5381
A44288	TUK87088501		A6591
A45868	TUK51255611		A8171
A10702	TUK36982571		A6431
A15172	TUK95005901	SAMEA5814498	A6391
A28501	TUK76331132		A7212
A44762	TUK33925741		A5291
A31350	TUK96919022		NA24092
A70544	TUK56046781		A7461
A57544	TUK71351562	SAMEA5814761	A8671
A58970	TUK90218042		A7552
A58673	TUK32777232		A6352
A86849	TUK34646702		A8122
A26478	TUK34646701		A8121
A29979	TUK56046782		A7462
A23402	TUK30360131	SAMEA5814483	NA57351
A41858	TUK30360132	SAMEA5814484	NA57352
A39849	TUK77595161		A8081
A95458	TUK77595162		A8082
A18452	TUK26327771	SAMEA5814043	A5201
A13231	TUK49186501		NA90451
A51147	TUK22921791	SAMEA5814576	A6551
A76998	TUK22921792	SAMEA5814577	A6552
A14484	TUK87920241		A4171
A97112	TUK87920242	SAMEA5813939	A4172
A97784	TUK55940671	SAMEA5814080	NA21441
A36498	TUK84351661		NA7251
A20954	TUK84351662		NA7252
A41091	TUK69214221		A4921
A60886	TUK99298282		A2022
A16205	TUK91160481		A6191
A50917	TUK91160482		A6192
A72472	TUK83809361		NA90111
A78542	TUK88320121		A7621
A96583	TUK88320122		A7622
A59277	TUK38052011		A4731
A94594	TUK38052012		A4732
A94417	TUK31157541		A6931
A29450	TUK31157542		A6932
A58194	TUK18140682		A14332
A84125	TUK63648891		NA53291
A10761	TUK63648892		NA53292
A14547	TUK86776511		A8641
A35637	TUK86776512	SAMEA5814752	A8642
A92772	TUK55940672	SAMEA5814081	NA21442
A45179	TUK53313761		A4351
A17336	TUK82644621	SAMEA5814536	A6501
A22909	TUK82644622		A6502
A13034	TUK20156322	SAMEA5813983	A4622
A78647	TUK69214222		A4922
A60944	TUK86967221		NA58821
A21264	TUK86967222		NA58822
A48497	TUK87987621		A8211
A16549	TUK87987622		A8212
A16811	TUK19226161		A6881
A77802	TUK19226162		A6882
A93905	TUK48444131		A5521
A48646	TUK48444132		A5522
A69492	TUK34825961		NA77211
A79704	TUK34825962		NA77212
A33068	TUK87746801		A5161
A59837	TUK24490891		A6331
A43715	TUK73154671		NA57221
A11854	TUK73154672		NA57222
A93270	TUK46672451		A7101
A10035	TUK46672452		A7102
A20811	TUK78183712		NA462
A64196	TUK78183711		NA461
A80701	TUK27304501	SAMEA5814588	NA64321
A96549	TUK66745361		A8101
A26833	TUK66745362		A8102
A13151	TUK20545681		A8901
A58111	TUK20545682		A8902
A13995	TUK17374411		A6701
A11298	TUK39138601		NA431
A56806	TUK39138602		NA432
A20410	TUK86667901		A8771
A98265	TUK86667902	SAMEA5814803	A8772
A50821	TUK11874181		NA21431
A95485	TUK11874182	SAMEA5814079	NA21432
A67967	TUK76874761		A6471
A48322	TUK32416881		A6251
A28874	TUK90448901		A7151
A78110	TUK90448902		A7152
A65854	TUK53313762		A4352
A53095	TUK86349661		A4841
A24281	TUK86349662		A4842
A51521	TUK74262991		A5681
A36507	TUK74262992		A5682
A64691	TUK73430731		A4191
A42694	TUK73430732	SAMEA5813943	A4192
A25401	TUK91902001	SAMEA5814610	A6791
A71872	TUK91902002	SAMEA5814611	A6792
A13731	TUK26468971	SAMEA5814703	A8461
A37746	TUK26468972	SAMEA5814704	A8462
A16398	TUK55778271		A8701
A28320	TUK55778272	SAMEA5814785	A8702
A41911	TUK10976401		A4341
A10612	TUK10976402		A4342
A73925	TUK81317531		NA30311
A53631	TUK60427592		A7752
A84682	TUK49186502	SAMEA5814694	NA90452
A11042	TUK15508951		A8931
A66886	TUK15508952		A8932
A49876	TUK42497972		A8232
A87187	TUK91403011		NA57471
A30251	TUK91403012		NA57472
A40005	TUK12471651		A7121
A52463	TUK12471652		A7122
A18459	TUK53282921	SAMEA5814719	A8501
A36613	TUK53282922		A8502
A69136	TUK25992071		A5221
A17330	TUK25992072		A5222
A48996	TUK71257141		A6971
A44768	TUK71257142		A6972
A99790	TUK63256491		A7871
A25914	TUK75445412		A4682
A78373	TUK81993231	SAMEA5814759	A8661
A94222	TUK81993232	SAMEA5814760	A8662
A14807	TUK35864661		A5011
A14711	TUK35864662		A5012
A93988	TUK85147511	SAMEA5814012	NA15821
A14370	TUK85147512	SAMEA5814013	NA15822
A19032	TUK16006721		A7021
A82394	TUK16006722		A7022
A73075	TUK42853911		A6261
A18550	TUK42853912		A6262
A96646	TUK26531941		A7291
A28148	TUK26531942		A7292
A43857	TUK19978681		NA32591
A88884	TUK19978682		NA32592
A21867	TUK38191892		A6442
A96454	TUK21745371		A8191
A31065	TUK65688171		A4261
A18594	TUK65688172		A4262
A41626	TUK17693521		A6321
A78902	TUK17693522		A6322
A94564	TUK35155581		A8201
A12213	TUK93314801		A4881
A50954	TUK93314802		A4882
A64801	TUK82087821		A5481
A33013	TUK82087822		A5482
A54046	TUK75445411		A4681
A47105	TUK86356651		NA54071
A58575	TUK86356652	SAMEA5814448	NA54072
A94012	TUK50603191	SAMEA5814256	NA33671
A22241	TUK50603192	SAMEA5814257	NA33672
A67811	TUK40463571	SAMEA5814579	NA60591
A87153	TUK40463572		NA60592
A56165	TUK20603121		A8801
A31895	TUK20603122		A8802
A34694	TUK35155582		A8202
A99526	TUK87969421		A6811
A49893	TUK87969422		A6812
A95602	TUK75293831		A6951
A73953	TUK75293832		A6952
A20332	TUK27933011		A7131
A26813	TUK27933012		A7132
A10654	TUK10670042		A4532
A60977	TUK82120321		A4821
A17826	TUK82120322		A4822
A53762	TUK86376091		A6611
A84714	TUK86376092		A6612
A19563	TUK95239431		A7361
A23222	TUK10793511		A4071
A67781	TUK10793512		A4072
A78513	TUK14280551		A7261
A66911	TUK14280552		A7262
A74576	TUK38191891	SAMEA5814505	A6441
A48431	TUK60427591		A7751
A68866	TUK81776101		A5851
A80936	TUK81776102		A5852
A14186	TUK76275101		A7011
A63035	TUK76275102		A7012
A46460	TUK76992251	SAMEA5814710	NA91321
A20455	TUK76992252		NA91322
A50363	TUK18123482		A6482
A53340	TUK18123481	SAMEA5814520	A6481
A28158	TUK19567761		A6981
A87594	TUK19567762		A6982
A12447	TUK22303251		NA53401
A13177	TUK22303252	SAMEA5814426	NA53402
A21324	TUK10670041		A4531
A11814	TUK83477331		NA55301
A13209	TUK83477332		NA55302
A57722	TUK41238171		A5371
A16155	TUK41238172		A5372
A16968	TUK45755281		A4131
A61836	TUK45755282		A4132
A90720	TUK92498581		A2791
A95612	TUK41683571		A7281
A80794	TUK41683572		A7282
A33933	TUK14195311		A6681
A60402	TUK14195312		A6682
A13189	TUK11436462	SAMEA5814778	NA94452
A21767	TUK32786832		NA21292
A75259	TUK11436461		NA94451
A18900	TUK61163171		A6371
A29701	TUK91565461		A6731
A76214	TUK91565462		A6732
A87016	TUK36898341	SAMEA5814687	A8431
A49459	TUK36898342	SAMEA5814688	A8432
A40555	TUK17142051		A6531
A54194	TUK59029411		A2512
A64015	TUK38335991		A7601
A39593	TUK39970161		A8591
A45338	TUK26818191		A6941
A27033	TUK26818192		A6942
A66133	TUK50773842		A7311
A44092	TUK62523931		A7051
A86769	TUK62523932		A7052
A35342	TUK21460641		A6781
A47793	TUK21460642		A6782
A27256	TUK75397031		A4861
A51041	TUK75397032		A4862
A65631	TUK66361811		A7241
A11413	TUK66361812		A7242
A73374	TUK31149861		A7221
A38680	TUK31149862		A7222
A88628	TUK81101262		A7352
A28779	TUK16074161		NA90311
A93037	TUK16074162		NA90312
A14115	TUK10395222		A6992
A61684	TUK23381602		A7162
A14942	TUK23875771		A6181
A67527	TUK23875772		A6182
A86257	TUK61163172		A6372
A74653	TUK13106931		A7321
A21214	TUK23381601		A7161
A26757	TUK13106932		A7322
A21114	TUK95323381	SAMEA5814585	A6581
A21429	TUK46045071		A7141
A20888	TUK46045072		A7142
A39225	TUK24372611		NA30011
A67778	TUK24372612		NA30012
A77021	TUK76177051	SAMEA5814713	A8481
A15830	TUK91850362	SAMEA5814587	A6602
A97609	TUK17374712	SAMEA5814023	A5062
A95464	TUK67857091		A8291
A74265	TUK67857092		A8292
A89937	TUK57830761	SAMEA5814741	A8601
A14641	TUK57830762	SAMEA5814742	A8602
A21165	TUK18861451		A342
A29298	TUK30290411		A7031
A79316	TUK30290412		A7032
A34423	TUK83626222		A7402
A32674	TUK48352862		A7232
A14007	TUK48352861		A7231
A72941	TUK42255001		NA71501
A59566	TUK42255002		NA71502
A17475	TUK65124632		A4811
A48967	TUK56131641	SAMEA5814054	A5241
A40774	TUK56131642	SAMEA5814055	A5242
A92485	TUK86466441		A8301
A32947	TUK86466442		A8302
A26588	TUK68797952		A7922
A88360	TUK47703731	SAMEA5814746	A8611
A30813	TUK55204961		A7181
A26646	TUK47611921		A8281
A86549	TUK47611922		A8282
A43832	TUK17262431	SAMEA5814621	A2422
A69757	TUK11032581		A8341
A98659	TUK11032582		A8342
A22532	TUK78063031		A8321
A29845	TUK78063032		A8322
A94897	TUK40534511		A8331
A56895	TUK40534512		A8332
A48874	TUK20832911		NA86321
A20613	TUK20832912		NA86322
A36902	TUK15534021		NA91591
A93949	TUK15534022	SAMEA5814720	NA91592
A94654	TUK68797951		A7921
A27882	TUK66358191	SAMEA5813906	A4031
A15671	TUK20236462		NA53002
A84596	TUK58199062		A8272
A55572	TUK74723752	SAMEA5813952	A4362
A10492	TUK58739161		A4411
A30697	TUK74723751		A4361
A63945	TUK33371571		A8251
A26894	TUK33371572		A8252
A29489	TUK37267581		A8261
A95895	TUK37267582		A8262
A97059	TUK86873221		A5581
A11893	TUK86873222		A5582
A50848	TUK42939711		A5501
A67359	TUK42939712		A5502
A24892	TUK97396442		A8872
A19342	TUK97396441		A8871
A22736	TUK66418831		A8651
A59193	TUK70578611		A7171
A34893	TUK70578612		A7172
A37940	TUK17682942	SAMEA5813929	A4112
A90572	TUK17682941	SAMEA5813928	A4111
A12230	TUK85598251		A5601
A20850	TUK85598252		A5602
A17130	TUK79005431	SAMEA5814810	A8811
A35695	TUK79005432	SAMEA5814811	A8812
A31940	TUK17909981		A4301
A28706	TUK60474731		A8531
A36755	TUK36519652	SAMEA5814750	NA92602
A88794	TUK24696071		A5311
A29479	TUK41053862		A8162
A59438	TUK41053861		A8161
A40621	TUK66025161		A4611
A14776	TUK66025162		A4612
A21813	TUK43194401	SAMEA5814031	A5151
A97252	TUK43194402	SAMEA5814032	A5152
A14154	TUK57734091	SAMEA5814603	A6751
A67745	TUK57734092	SAMEA5814604	A6752
A88166	TUK37681411		A7091
A17036	TUK37681412		A7092
A26994	TUK80037001		A8031
A48914	TUK80037002		A8032
A98946	TUK30615951		A8041
A15618	TUK30615952		A8042
