s.NameOnSampleWithAnon	PublicID	Metagenome_sample_accession	i.TwinID
A11303	TUK97487532	SAMEA5814712	NA91372
A11632	TUK20032101		A10381
A71040	TUK18563412		A11152
A89548	TUK90274281		A13321
A53835	TUK89332712		A12262
A82275	TUK85872261	SAMEA5814097	A10151
A11665	TUK59939971		A11311
A80922	TUK37864292		A13912
A10618	TUK52941481	SAMEA5814434	NA53621
A12221	TUK42540881	SAMEA5813847	A8951
A56703	TUK44981151	SAMEA5813896	NA1591
A14743	TUK76137552		NA60562
A22331	TUK64422361		A12581
A80721	TUK53721351		A12681
A54547	TUK28053161		A13231
A44300	TUK81656841		A10321
A97240	TUK29186851		A14001
A13369	TUK18430832	SAMEA5814508	NA58472
A57086	TUK49735512		A13802
A15634	TUK98465331		NA55581
A56224	TUK99198202		A9102
A85577	TUK65525651		NA91331
A38946	TUK79367232	SAMEA5814781	NA94512
A45318	TUK79367231		NA94511
A66262	TUK47484231		A11321
A20043	TUK89071422	SAMEA5814266	A10802
A74593	TUK59047292		A12602
A34639	TUK20032102		A10382
A55504	TUK33411152		A9962
A86897	TUK11659332		A11882
A15870	TUK88126171	SAMEA5814527	NA59091
A10717	TUK78422292	SAMEA5814800	A14062
A19747	TUK34143191		A14271
A46741	TUK89241081		NA92451
A21221	TUK98638382		A11562
A89596	TUK52009512	SAMEA5814835	A14242
A51750	TUK91290682		A10312
A12089	TUK26926832		A13852
A99098	TUK48927941		A14091
A75378	TUK24862412	SAMEA5814158	NA30202
A31020	TUK72790442		A12442
A76409	TUK70161762		A11642
A16412	TUK53137201		A11901
A10599	TUK66462971		A12751
A59475	TUK35480592	SAMEA5814223	A10722
A19154	TUK46268491		A12911
A63591	TUK14807502	SAMEA5814165	NA30412
A25536	TUK99019221		A12011
A43964	TUK28638621	SAMEA5814583	A11681
A98753	TUK58549241		A12711
A83347	TUK53786741		A9881
A42338	TUK90064642	SAMEA5814544	NA59492
A11797	TUK40438161		A14041
A54265	TUK46268492		A12912
A29275	TUK14807501	SAMEA5814164	NA30411
A76925	TUK20503261	SAMEA5814558	A11581
A19014	TUK33398012	SAMEA5814564	A11612
A54988	TUK49325952		A12212
A14643	TUK96393421	SAMEA5814052	A9931
A78591	TUK18417932		A11932
A29055	TUK43271591		A10341
A10645	TUK55523322		A14252
A37686	TUK48711152		A11622
A19175	TUK21273752		A10112
A17177	TUK54643111	SAMEA5814159	NA30211
A47726	TUK89643781		A13031
A13801	TUK45029632		A10132
A17572	TUK30291442		A11112
A61305	TUK37864291		A13911
A32317	TUK32352652		A10012
A64570	TUK28682801		NA30801
A60973	TUK34064451		NA21501
A18745	TUK90274282		A13322
A24032	TUK89332711		A12261
A46301	TUK58488221	SAMEA5814516	A11481
A91993	TUK87602771		NA55021
A92882	TUK59939972		A11312
A75898	TUK23472122		A13442
A68584	TUK29186852		A14002
A67828	TUK52941482		NA53622
A56390	TUK77238211		NA96921
A56453	TUK64422362		A12582
A10977	TUK43556621	SAMEA5814056	A9991
A17840	TUK73612162	SAMEA5814725	A13812
A10337	TUK90773221	SAMEA5814035	A9861
A54296	TUK47484232		A11322
A50863	TUK32618082		A10532
A24190	TUK47492211		A10921
A86152	TUK48077242		A11232
A51452	TUK18563411		A11151
A65510	TUK45338812		A10582
A12117	TUK34122982		A12412
A53634	TUK99587032	SAMEA5814270	A10832
A28747	TUK28053162		A13232
A20556	TUK78809641		NA59081
A53078	TUK88517352		NA53502
A65258	TUK85599141		A12511
A37601	TUK88126172		NA59092
A30682	TUK78422291	SAMEA5814799	A14061
A96585	TUK53721352		A12682
A32762	TUK66634901	SAMEA5813990	NA11711
A18147	TUK70161761		A11641
A81274	TUK34143192		A14272
A96335	TUK89241082		NA92452
A17030	TUK99198201		A9101
A82372	TUK76137551		NA60561
A27042	TUK24862411	SAMEA5814157	NA30201
A65603	TUK82522012		A12312
A10410	TUK72790441		A12441
A90070	TUK81656842		A10322
A58015	TUK62569131		A12691
A18030	TUK13500331		A9981
A54561	TUK66462972		A12752
A95138	TUK91290681		A10311
A21217	TUK26926831		A13851
A10767	TUK96151121		A11381
A52437	TUK96485072		A10942
A73810	TUK10722451		NA98451
A80729	TUK56121542		A12052
A26014	TUK13261021		A13121
A41845	TUK23205681		A12131
A17413	TUK87705162		A9422
A37881	TUK67216401		A11371
A26210	TUK11777901		A11801
A89370	TUK65827451		NA1171
A80079	TUK39126082		A9192
A69881	TUK96151122		A11382
A12492	TUK62501311		A12701
A83198	TUK10722452		NA98452
A19170	TUK91687841		NA59561
A93970	TUK92587761		A13071
A67494	TUK12736171		NA55901
A20333	TUK11777902		A11802
A46339	TUK65827452	SAMEA5813883	NA1172
A13684	TUK47310512		A11292
A66767	TUK97329431		A14121
A14104	TUK56584052		A13052
A49918	TUK91687842	SAMEA5814545	NA59562
A75503	TUK19492911		NA32151
A92070	TUK12736172		NA55902
A14590	TUK56838751		A10751
A46796	TUK91474451		A11131
A97447	TUK46698651		A12821
A63863	TUK97329432		A14122
A37441	TUK10855351		A12181
A61724	TUK19492912	SAMEA5814200	NA32152
A13227	TUK82136031		A13081
A34564	TUK42800071		A13381
A47791	TUK95872521		A11911
A86114	TUK56838752		A10752
A38947	TUK54798681		A11541
A61417	TUK46698652		A12822
A96563	TUK17169661		A13501
A82284	TUK10855352		A12182
A78897	TUK43906751	SAMEA5814212	NA32551
A15193	TUK69253292		A10192
A10146	TUK35675342		A9172
A33662	TUK82136032		A13082
A10887	TUK42800072		A13382
A18959	TUK95872522		A11912
A10882	TUK48271271		A8981
A85756	TUK93692521		A11341
A37600	TUK54352331		A12081
A70949	TUK43906752	SAMEA5814213	NA32552
A46149	TUK84495331		NA90391
A52418	TUK16542582		A12592
A53291	TUK27764991		A12421
A19842	TUK42871021		A12741
A58659	TUK33598981		A9261
A10810	TUK94439031		A8991
A19122	TUK56584051		A13051
A41857	TUK17169662		A13502
A81826	TUK54352332		A12082
A32345	TUK65170022	SAMEA5814361	NA51872
A19376	TUK27764992		A12422
A34689	TUK42871022		A12742
A82901	TUK94439032		A8992
A37453	TUK77055541		A12521
A91203	TUK96485071		A10941
A20283	TUK57177522		A12552
A25384	TUK52504322		A12852
A19787	TUK87705161		A9421
A65637	TUK61615611		A11331
A21136	TUK33598982		A9262
A19652	TUK77055542		A12522
A18053	TUK64836852		A14302
A11825	TUK23127501		A9111
A16929	TUK34697662		A12032
A24840	TUK44874842		NA52162
A14251	TUK61971542		A13402
A54461	TUK25143691		A9611
A17753	TUK97299081		A12271
A34231	TUK10590881		A13921
A46203	TUK36127891	SAMEA5814596	A11771
A46159	TUK48964201		NA52771
A90005	TUK47795911	SAMEA5814402	NA52601
A19886	TUK77489142		A12072
A64257	TUK25143692		A9612
A76962	TUK11778081		A12951
A78194	TUK15809722	SAMEA5814381	NA52212
A75218	TUK38253551		A11351
A80447	TUK10590882		A13922
A98632	TUK36127892		A11772
A97996	TUK48964202		NA52772
A56199	TUK90227181		A11991
A10068	TUK37345332		A11162
A14374	TUK72537261	SAMEA5814101	NA22741
A15153	TUK38253552		A11352
A69958	TUK77159041		A13371
A29541	TUK87456511		A11941
A43685	TUK47795912		NA52602
A89342	TUK90227182		A11992
A50415	TUK72537262	SAMEA5814102	NA22742
A53756	TUK11801082		A3332
A95411	TUK77739401		A13181
A57281	TUK92723522		A9562
A25506	TUK45175532	SAMEA5814083	A10102
A77677	TUK87456512		A11942
A85146	TUK79694581		A14221
A13521	TUK64011581		A10541
A11517	TUK10451941	SAMEA5814410	NA52891
A27970	TUK15403862		A12792
A15012	TUK97640492		A12902
A16345	TUK77739402		A13182
A89545	TUK41299101		A13431
A11846	TUK17249031		NA67311
A12807	TUK91011391	SAMEA5814489	NA57501
A96897	TUK64011582		A10542
A40463	TUK24060631		A12161
A10835	TUK60857181		A9181
A13611	TUK76403091		A11121
A81999	TUK77199721		NA14441
A19827	TUK69041911	SAMEA5814206	NA32361
A20231	TUK91011392	SAMEA5814490	NA57502
A12264	TUK97157291		A9221
A48152	TUK24060632		A12162
A16861	TUK60857182		A9182
A36834	TUK35811642		A12482
A88943	TUK49285791	SAMEA5814216	NA32771
A71529	TUK38186072		A10522
A19850	TUK44874841	SAMEA5814377	NA52161
A47684	TUK34697661		A12031
A50609	TUK41003871		A10371
A13907	TUK61971541		A13401
A53379	TUK94736921		A11041
A18804	TUK97157292		A9222
A14171	TUK15809721	SAMEA5814380	NA52211
A13309	TUK32962202	SAMEA5814205	NA32332
A84713	TUK21276092	SAMEA5814339	A11012
A18642	TUK16753881	SAMEA5814188	NA30881
A96185	TUK10932941	SAMEA5814445	NA54051
A86325	TUK49076201		A9661
A83141	TUK12238831	SAMEA5814330	NA51141
A57540	TUK57146381		A13201
A15772	TUK59289452		A9952
A10143	TUK35104751		A9591
A29889	TUK64124201	SAMEA5814063	A10041
A47220	TUK10932942		NA54052
A52413	TUK74056152		A11872
A29595	TUK57146382		A13202
A47334	TUK12793541		A9821
A55441	TUK42834851		A9971
A90092	TUK21541201		A12471
A29554	TUK20006451		A9141
A15334	TUK74056151		A11871
A80615	TUK47390051		A9551
A22478	TUK52018851		A13571
A21148	TUK12793542		A9822
A94380	TUK42834852		A9972
A76041	TUK21541202		A12472
A32567	TUK20006452		A9142
A85038	TUK80762612	SAMEA5814350	A11022
A72615	TUK90485631		A11671
A36885	TUK52018852		A13572
A12078	TUK16753882	SAMEA5814189	NA30882
A26578	TUK33322291		A13591
A98178	TUK73763781		A12641
